Year,Metabolite,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
2016,cocaine,FR,Paris Seine Centre,139.55,124.06,85.72,188.1,248.87,252.9,147.98,137.19,193.9,169.6
2016,cocaine,GB,Bristol,117.02,288.9,349.52,565.38,713.82,367.2,331.05,245.65,498.98,390.41
2016,cocaine,GB,London,637.52,644.05,732.16,1145.32,,1120.44,1090.04,790.53,999.31,894.92
2016,cocaine,GR,Athens,21.49,25.47,24.61,36.15,45.65,30.71,28.81,25.25,34.28,30.41
2016,cocaine,HR,Zagreb,121.97,112.53,162.32,262.28,187.81,149,140.3,124.93,190.35,162.32
2016,cocaine,IS,Reykjavik Klettagarðar,87.43,91.29,142.52,120.73,138.06,76.17,48.06,75.6,119.37,100.61
2016,cocaine,IT,Milan,314.74,312.99,263.86,344.35,337.27,308.62,264.3,297.34,313.53,306.59
2016,cocaine,NL,Eindhoven,347.49,401.78,426.65,606.2,695.48,534.84,472.66,407.31,565.79,497.87
2016,cocaine,NL,Utrecht,305.72,273.91,281.14,412.44,363.31,296.82,239.19,272.94,338.43,310.36
2016,cocaine,PT,Almada,69.75,76.18,57.91,85.3,67.9,94.29,25.44,57.12,76.35,68.11
2016,cocaine,PT,Lisbon,218.05,264.75,241.17,306.44,282.32,268.19,224.78,235.86,274.53,257.96
2016,cocaine,PT,Porto,60.59,78.47,90.95,114.94,113.6,89.32,87.39,75.48,102.2,90.75
2016,cocaine,SE,Stockholm (2),101.39,113.22,113.9,202.39,236.89,136.24,104.99,106.53,172.35,144.14
2016,cocaine,SK,Piestany,14.41,12.71,11.8,35.02,31.08,11.2,24,17.04,22.28,20.03
2017,methamphetamine,AT,Innsbruck,2.35,2.71,2.58,05.05,03.04,2.4,1.91,2.32,3.27,2.86
2017,methamphetamine,BE,Antwerp Zuid,22.17,18.53,26.19,24.53,20.24,21.72,22.83,21.18,23.17,22.32
2017,methamphetamine,BE,Boom,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,BE,Brussels,5.62,6.61,7.21,6.77,6.92,7.64,6.84,6.36,7.13,6.8
2017,methamphetamine,BE,Koksijde,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,BE,Merchtem,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,BE,Oostende,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,BE,Ruisbroek (Puurs),0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,CH,Basel,30.23,42.87,,35.83,37.44,35.62,40.27,37.79,36.29,37.04
2017,methamphetamine,CH,Berne,23.36,15.26,24.15,29.13,25.66,35.05,27.41,22.01,28.5,25.72
2017,methamphetamine,CH,Geneva,18.17,17.72,19.69,21.34,17.29,19.28,13.22,16.37,19.4,18.1
2017,methamphetamine,CH,St. Gallen Hofen,8.78,05.02,6.57,13.49,3.95,5.27,8.78,7.53,7.32,7.41
2017,methamphetamine,CH,Zurich,59.22,54.88,57.78,68.43,60.79,65.81,67.4,60.5,63.2,62.04
2017,methamphetamine,CY,Limassol,83.02,73.49,64.62,107.71,102.26,83.81,101.15,85.89,89.6,88.01
2017,methamphetamine,CZ,Brno,166.82,159.41,169.01,271.63,197.16,154.33,181.31,169.18,198.03,185.67
2017,methamphetamine,CZ,České Budějovice,211.16,214.57,189.33,200.79,205.9,192.36,186.99,204.24,197.09,200.16
2017,methamphetamine,DE,Berlin (4),17.15,22.52,14.66,12.85,13.32,8.97,15.21,18.3,12.45,14.95
2017,methamphetamine,DE,Chemnitz,221.41,330.39,223.8,223.9,246.22,224.02,214.22,255.34,229.49,240.57
2017,methamphetamine,DE,Dortmund,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,DE,Dresden,191.77,175.81,199.62,159.42,193.21,171.55,169.88,179.15,180.95,180.18
2017,methamphetamine,DE,Dülmen,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,DE,Erfurt,180.37,238.9,217.01,241.13,225.72,195.94,179.52,199.6,219.95,211.23
2017,methamphetamine,DE,Frankfurt (3),7.69,8.42,8.8,10.13,9.28,7.66,7.44,7.85,8.97,8.49
2017,methamphetamine,DE,Hamburg N,2.46,3.12,2.74,2.86,03.07,2.41,3.46,03.01,2.77,2.87
