Year;Metabolite;Site ID;Country;City;Wednesday;Thursday;Friday;Saturday;Sunday;Monday;Tuesday;Weekday mean;Weekend mean;Daily mean;Latitude;Longitude;Location;City;Country: City
2024;cocaine;DE028;DE;Nuremberg;71.81;80.2;68.99;113.91;125.25;113.84;67.37;73.12;105.5;91.62;49.452.102;11.076.665;NÅrnberg;Nuremberg;DE: Nuremberg
2024;cocaine;DE030;DE;SaarbrÅcken (2);219.95;267.09;280.96;318.27;396.49;280.96;251.46;246.17;319.17;287.88;49.240.157;6.996.933;"Brebach; Burbach";SaarbrÅcken (2);DE: SaarbrÅcken (2)
2024;cocaine;DE033;DE;Stuttgart;361.61;406.06;492.66;469.96;628.47;356.09;342.84;370.17;486.8;436.81;48.775.846;9.182.932;Stuttgart;Stuttgart;DE: Stuttgart
2024;cocaine;DK001;DK;Aalborg;311.04;347.78;537.16;728.38;773.42;424.04;294.99;317.94;615.75;488.12;5.704.855.704;9.865.213.642;Aalborg renseanlëg vest;Aalborg;DK: Aalborg
2024;cocaine;DK002;DK;Aarhus;180.56;184.72;198.63;514.71;423.5;312.25;196.11;187.13;362.27;287.21;561.631;1.020.256;Marselisborg;Aarhus;DK: Aarhus
2024;cocaine;DK003;DK;Copenhagen;422.85;472.96;492;844.85;624.58;524.79;457.08;450.96;621.56;548.44;55.69;Dez 62;Lynetten;Copenhagen;DK: Copenhagen
2024;cocaine;DK004;DK;Esbjerg;311.65;324.23;301.15;403.81;524.82;452.16;360.6;332.16;420.49;382.63;5.548.812.791;8.430.608.708;Esbjerg renseanlëg vest;Esbjerg;DK: Esbjerg
2024;cocaine;DK005;DK;Nëstved;256.25;243.35;333.84;352.53;348.28;301.59;246.97;248.86;334.06;297.54;552.229.935;1.174.855.352;Nëstved centralrenseanlëg;Nëstved;DK: Nëstved
2024;cocaine;DK006;DK;Odense;256.75;288.85;462.84;647.18;664.26;273.54;253.02;266.2;511.96;406.63;5.540.132.682.133.400;103.875.142.603.132;Ejby Mõlle;Odense;DK: Odense
2024;cocaine;ES001;ES;Barcelona;348.59;337.65;352.74;364.36;390;292.3;360.47;348.9;349.85;349.44;41.43;Jan 97;Baix Llobregat;Barcelona;ES: Barcelona
2024;cocaine;ES002;ES;Castellon;580.84;709.6;807.64;945.21;991.51;754.12;475.57;588.67;874.62;752.07;40.23;-0.12;EDAR Castell¢n;Castellon;ES: Castellon
2024;cocaine;ES004;ES;Lleida;1065.15;472.8;465.71;642.69;660.18;598.57;461.91;666.62;591.79;623.86;41.617.592;0.620015;EDAR Lleida;Lleida;ES: Lleida
2024;cocaine;ES007;ES;Santiago;533.53;630.34;586.27;783.42;697.49;515.62;521.88;561.92;645.7;609.79;42.88;-8.54;Silvouta;Santiago;ES: Santiago
2024;cocaine;ES008;ES;Tarragona;1327.35;1655.58;1649.44;1580.37;1598.21;1386.56;1182.88;1388.6;1553.64;1482.91;4.111.901.451.164.160;124.570.728.603.803;Tarragona;Tarragona;ES: Tarragona
2024;cocaine;FI001;FI;Espoo;108.97;129.32;146.26;219.57;198.17;183.21;124.86;121.05;186.8;158.62;60.16;24.71;BlominmÑki;Espoo;FI: Espoo
2024;cocaine;FI002;FI;Helsinki;171.52;176.98;190.98;280.57;280.02;279.79;191.86;180.12;257.84;224.53;60.23;24.99;ViikinmÑki;Helsinki;FI: Helsinki
2024;cocaine;FI003;FI;Huittinen;Jan 23;Feb 55;;Mrz 59;Mrz 58;Mai 81;Mrz 16;Feb 37;Apr 32;Mrz 21;6.117.655.889;2.269.824.858;Huittinen;Huittinen;FI: Huittinen
2024;cocaine;FI004;FI;HÑmeenlinna;37.8;36.65;32.74;58.32;69.08;56.85;38.77;37.74;54.25;47.17;6.099.601;2.446.423;Paroinen;HÑmeenlinna;FI: HÑmeenlinna
2024;cocaine;FI005;FI;Joensuu;Okt 98;Nov 84;19. Jun;34.59;45.2;27.17;14.76;Dez 53;31.64;23.45;62.58;29.73;Kuhasalo;Joensuu;FI: Joensuu
2024;cocaine;FI006;FI;JyvÑskylÑ;20.51;22.28;29.15;50.15;40.04;21.14;15.59;19.46;35.12;28.41;62.21;25.77;NenÑinniemi;JyvÑskylÑ;FI: JyvÑskylÑ
2024;cocaine;FI007;FI;Kajaani;Aug 13;13.59;15. Dez;28.45;23.24;18.29;16. Mai;Dez 59;21.27;17.55;64.227;277.285;Peuraniemi;Kajaani;FI: Kajaani
2024;cocaine;FI008;FI;Kemi;Feb 98;Feb 43;Apr 29;08. Jul;Aug 92;Jul 97;22.39;Sep 27;Jul 31;Aug 15;6.573.609;2.456.363;Peurasaari;Kemi;FI: Kemi
2024;cocaine;FI009;FI;Kokkola;Mrz 57;03. Jun;Mrz 38;Feb 87;Feb 64;Feb 98;Feb 35;Mrz 17;Feb 97;03. Mai;6.383.848;2.313.048;Hopeakivenlahti;Kokkola;FI: Kokkola
2024;cocaine;FI010;FI;Kotka;30.76;27. Mrz;31.86;54.44;47.28;40.42;31.93;30;43.5;37.71;60.45;26.89;Mussalo;Kotka;FI: Kotka
2024;cocaine;FI011;FI;Kouvola;44.93;29.13;25.38;36.53;42.73;23.71;24. Mrz;32.78;32.09;32.39;608.679;2.670.405;MÑkikylÑ;Kouvola;FI: Kouvola
2024;cocaine;FI012;FI;Kuopio;19. Mai;13.95;22.83;41.74;48.68;27.22;18. Mai;17.16;35.12;27.42;62.96;27. Jan;Lehtoniemi;Kuopio;FI: Kuopio
2024;cocaine;FI013;FI;Lahti;80.15;96.9;110.77;148.08;163.84;98.54;79.69;85.58;130.3;111.14;60.99;25.65;Kariniemi;Lahti;FI: Lahti
2024;cocaine;FI014;FI;Lappeenranta;Jun 67;Jun 76;Sep 88;Dez 28;12. Aug;Sep 36;Mai 95;Jun 46;10. Sep;9;60.93;27. Mrz;Toikansuo;Lappeenranta;FI: Lappeenranta
2024;cocaine;FI015;FI;Mariehamn;Sep 53;Jul 69;15.88;17. Sep;51.04;13.34;Jun 47;07. Sep;24.54;17.41;6.009.693;1.993.482;Lotsbroverket;Mariehamn;FI: Mariehamn
2024;cocaine;FI016;FI;Mikkeli;15. Sep;24.45;29. Apr;28.13;26.52;18.91;Okt 56;16. Jul;25.65;21.82;6.168.852;2.727.217;MetsÑ-Sairila;Mikkeli;FI: Mikkeli
2024;cocaine;FI017;FI;Oulu;21.22;25.14;27.47;41.77;39.51;29.44;21. Jul;22.69;34.55;29.47;65.05;25.41;Taskila;Oulu;FI: Oulu
2024;cocaine;FI018;FI;Pietarsaari;0.8;0.84;Sep 71;Feb 29;Jan 77;0.37;0.63;0.76;Mrz 53;Feb 34;6.367.486;2.270.256;Alheda;Pietarsaari;FI: Pietarsaari
2024;cocaine;FI019;FI;Pori;18.85;22.49;17. Feb;25. Nov;24.91;21. Aug;17. Apr;19.58;22.25;21. Nov;6.148.519;2.179.746;LuotsinmÑki;Pori;FI: Pori
2024;cocaine;FI020;FI;Porvoo;53.73;30.55;48.27;143.57;115.06;67.1;47.74;44;93.5;72.29;6.034.094.426;2.561.000.702;Hermanninsaari;Porvoo;FI: Porvoo
