Year,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
2017,DE,Dresden,16.94,16.82,19.61,23.21,32.07,19.98,17.41,17.05,23.72,20.86
2017,DE,Dülmen,39.35,84.25,180.71,201.3,71.52,73.79,128.97,84.19,131.83,111.41
2017,DE,Erfurt,35.38,37.81,50.65,78.38,56.58,39.3,41.81,38.33,56.23,48.56
2017,DE,Frankfurt (3),391.25,387.52,417.96,578.86,518.5,340.84,360.59,379.79,464.04,427.93
2017,DE,Hamburg N,215.17,246.56,256.9,349.49,321.75,259.05,255.52,239.08,296.8,272.06
2017,DE,Hannover (2),293.55,232.08,362.28,325.18,428.89,257.94,220.45,248.69,343.57,302.91
2017,DE,Magdeburg,109.78,107.34,125.95,164.76,185.56,136.38,123.85,113.66,153.16,136.23
2017,DE,Mainz,111.34,152.77,135.43,153.13,122.89,137.2,86.47,116.86,137.16,128.46
2017,DE,Munich G,108.77,103.93,131.92,180.36,211.3,129.87,114.98,109.23,163.36,140.16
2017,DE,Nuremberg,10.42,7.88,23.52,25.6,29.86,19.97,9.54,9.28,24.73,18.11
2017,DE,Rostock,100.57,160.1,139.99,164.86,156.8,137.49,93.11,117.93,149.79,136.13
2017,DE,Saarbrücken (2),155.94,242.79,198.33,211.24,211.24,170.94,163.43,187.39,197.94,193.42
2017,DE,Stuttgart,182.48,190.59,310.23,247.84,,202.01,167.74,180.27,253.36,216.82
2017,ES,Barcelona,709.93,928.31,980.81,1244.07,1201.61,978.2,713.39,783.88,1101.17,965.19
2017,ES,Castellon,268.89,252.54,178.34,436.94,405.14,358.29,336.34,285.92,344.68,319.5
2017,ES,Madrid VdlV,378.89,344.73,376.79,581.84,492.41,560.14,476.74,400.12,502.79,458.79
2017,ES,Santiago,240.65,277.97,304.47,517.31,523.97,292.95,241.43,253.35,409.68,342.68
2017,ES,Valencia (3),349.45,368.32,394.79,527.03,629.57,344.94,366.44,361.41,474.08,425.79
2017,FI,Espoo,13.38,13.45,14.88,23.7,27.88,16.75,9.46,12.1,20.8,17.07
2017,FI,Helsinki,20.12,18.73,24.83,42,50.48,32.61,20.74,19.86,37.48,29.93
2017,FI,Tampere,11.92,14.5,14.37,23.05,23.57,14.87,11.73,12.72,18.96,16.29
2017,FI,Turku,3.41,3.31,4.32,04.01,6.63,8.39,3.11,3.28,5.84,4.74
2017,FR,Bordeaux I,264.43,153.25,186.4,104.01,479.03,495.49,160.44,192.71,316.23,263.29
2017,FR,Fort-de-France P,401.37,,344.16,471.89,296.77,475.66,404.12,402.74,397.12,398.99
2017,FR,Paris Seine Centre,209.54,239.56,345.48,620.5,359.43,277.84,217.31,222.14,400.81,324.24
2017,FR,Paris South Suburbs,71.36,41.59,158.89,137.81,139.43,139.06,42.06,51.67,143.8,104.31
2017,GB,Bristol,415.86,677.64,771.99,1161.31,1011.22,689.1,556.06,549.85,908.4,754.74
2017,GR,Athens,,41.29,36.61,,52.4,38.12,33.01,37.15,42.38,38.28
2017,HR,Zagreb,175.5,205.44,218.3,301.23,281.67,171.3,160.44,180.46,243.13,216.27
2017,IS,Reykjavik Klettagarðar,304.44,447.13,499.93,485.86,587.91,444.56,291.44,347.67,504.56,437.32
2017,IT,Milan,316.45,298.14,330.22,416.65,402.25,333.59,292.72,302.44,370.67,341.43
2017,LT,Vilnius,23.86,21.79,62.41,22.31,62.77,27.77,21.99,22.55,43.82,34.7
2017,NL,Amsterdam,627.82,612.76,606.09,913.45,752.91,937.53,687.75,642.78,802.49,734.04
2017,NL,Eindhoven,365.15,347.45,348.1,435.74,586.7,506.27,405.04,372.55,469.2,427.78
2017,NL,Nieuwegein Ijssel.,253.88,251.34,305.67,377.56,428.71,353.45,252.94,252.72,366.35,317.65
2017,NL,Oudewater,158.29,161.67,194.66,298.93,478.19,318.33,150.93,156.96,322.53,251.57
2017,NL,Utrecht,225.37,234.83,252.46,316.42,331.32,306.35,354.42,271.54,301.64,288.74
2017,PT,Almada,90.06,108.68,76.62,86.24,15.08,101.96,98.08,98.94,69.97,82.39
